project_name,emp_id,funding_dept_id,start_date_time,end_date_time
1,13,2,01-Jan-18 04:31:00,01-Jan-18 16:00:00
2,3,3,01-Jun-18 04:31:00,01-Dec-18 16:00:00
3,4,4,01-Jan-18 04:31:00,01-Dec-18 16:00:00
4,5,3,01-Jan-18 04:31:00,01-Dec-18 16:00:00
5,6,3,01-Jan-18 04:31:00,01-Jul-18 16:00:00
6,7,4,01-Jan-18 04:31:00,01-Aug-18 16:00:00
7,8,4,01-Jan-18 04:31:00,01-May-18 16:00:00
8,9,4,01-Jan-18 04:31:00,01-Feb-18 16:00:00
9,10,1,01-Jan-18 04:31:00,01-Mar-18 16:00:00
10,1,1,01-Jan-18 04:31:00,01-Jun-18 16:00:00
11,2,3,01-Jan-18 04:31:00,01-Jun-18 16:00:00
12,14,1,01-Jan-18 04:31:00,01-Jun-18 16:00:00
13,15,4,01-Jan-18 04:31:00,01-Oct-18 16:00:00
14,12,3,01-Jan-18 04:31:00,01-Dec-18 16:00:00
15,11,3,01-Jan-18 04:31:00,01-Dec-18 16:00:00
